Ubicación,Confirmados,Personas recuperadas,Muertes
Aguascalientes,352,44,14
Baja California,2448,31,419
Baja California Sur,559,6,22
Campeche,232,1,31
Chiapas,419,2,20
Chihuahua,693,3,141
Ciudad de México,9983,196,819
Coahuila de Zaragoza,572,38,53
Colima,63,7,6
Durango,117,3,12
Estado de Hidalgo,574,11,90
Estado de México,6155,102,343
Guanajuato,505,44,46
Guerrero,582,4,71
Jalisco,636,87,55
Michoacán,577,8,71
Morelos,820,4,99
Nayarit,238,2,23
Nuevo León,664,66,33
Oaxaca,258,9,45
Puebla,1120,46,129
Querétaro,252,15,25
Quintana Roo,1118,38,175
San Luis Potosí,278,23,12
Sinaloa,1516,12,216
Sonora,541,4,28
Tabasco,1758,36,232
Tamaulipas,756,2,46
Tlaxcala,386,1,58
Veracruz,1352,10,112
Yucatán,848,5,51
Zacatecas,157,1,19
